Timestamp
2000-09-28 00:00:00
2000-10-05 00:00:00
2001-05-03 00:00:00
2001-05-31 00:00:00
2002-04-29 08:47:36
2002-04-29 09:02:50
2002-05-01 08:16:31
2002-08-30 16:00:11
2003-05-08 16:34:11
2003-07-30 13:23:29
2003-08-05 15:33:24
2003-08-07 16:36:43
2003-08-22 15:03:03
2003-09-11 18:04:13
2003-09-17 15:01:25
2003-11-06 16:21:41
2004-02-12 16:37:36
2004-04-26 15:46:10
2004-05-06 16:26:01
2004-08-05 16:24:16
2004-08-10 20:32:14
2004-08-20 17:01:28
2004-10-27 12:50:28
2004-11-04 16:34:21
2005-02-02 13:33:28
2005-02-11 15:57:11
2005-02-17 16:28:00
2005-05-12 16:22:21
2005-05-13 20:00:49
2005-05-20 16:36:27
2005-06-02 16:22:48
2005-08-11 16:32:08
2005-11-09 16:31:11
2005-12-15 17:21:12
2005-12-22 16:37:26
2006-02-16 16:33:54
2006-02-24 16:42:56
2006-03-07 17:12:06
2006-03-13 16:46:56
2006-03-31 18:08:35
2006-05-11 16:35:40
2006-08-10 16:22:52
2006-09-12 09:11:47
2006-11-03 18:26:45
2006-11-09 16:57:05
2006-11-09 17:19:59
2006-12-01 16:11:36
2006-12-04 17:17:59
2007-01-11 13:28:06
2007-02-13 16:54:17
2007-04-05 16:35:43
2007-04-30 14:37:54
2007-05-10 16:37:58
2007-06-08 13:24:10
2007-06-18 10:48:51
2007-06-18 16:20:02
2007-06-19 16:48:15
2007-06-27 16:06:16
2007-08-09 16:38:10
2007-08-09 16:47:59
2007-09-21 16:41:12
2007-10-31 15:47:23
2007-11-08 16:37:56
2008-02-06 16:53:45
2008-02-13 16:51:50
2008-03-27 10:43:11
2008-04-21 16:23:25
2008-05-08 16:30:41
2008-07-02 16:40:11
2008-08-12 16:49:23
2008-09-08 16:29:50
2008-09-18 16:58:00
2008-09-22 17:26:10
2008-09-24 17:23:03
2008-10-16 13:23:04
2008-11-06 16:24:44
2008-11-10 16:23:35
2009-01-16 16:32:09
2009-02-10 16:29:54
2009-02-11 17:13:14
2009-02-19 16:31:06
2009-02-27 09:07:15
2009-04-08 16:32:25
2009-05-07 16:24:40
2009-08-06 16:48:37
2009-11-05 16:25:41
2010-02-17 16:50:56
2010-05-05 17:12:08
2010-05-13 16:29:00
2010-08-12 16:24:58
2010-08-13 09:02:09
2010-08-24 16:47:12
2010-09-13 16:30:53
2010-11-12 06:11:24
2011-01-10 16:25:59
2011-02-16 16:22:17
2011-03-15 16:28:36
2011-03-24 21:37:38
2011-05-12 16:25:37
2011-05-24 16:23:59
2011-08-11 16:26:04
2011-10-14 16:16:13
2011-11-10 16:21:32
2011-12-14 16:25:53
2012-02-09 16:07:15
2012-02-15 16:40:20
2012-03-28 17:08:26
2012-05-11 07:32:27
2012-08-09 16:27:28
2012-11-08 16:24:34
2013-02-13 16:26:20
2013-03-05 16:06:14
2013-04-02 16:23:22
2013-05-09 16:30:22
2013-05-14 07:47:35
2013-05-21 16:18:14
2013-07-23 16:38:27
2013-08-08 16:29:18
2013-09-16 16:39:35
2013-11-07 16:26:02
2013-11-14 17:22:22
2013-12-02 17:25:56
2014-02-12 16:23:20
2014-02-14 08:16:45
2014-04-15 17:09:45
2014-05-06 09:29:49
2014-05-08 16:28:42
2014-05-28 16:27:50
2014-08-07 16:24:10
2014-11-06 16:25:39
2015-02-11 16:22:40
2015-03-11 16:29:35
2015-04-09 19:22:22
2015-05-07 16:29:26
2015-05-26 17:07:58
2015-06-23 16:35:08
2015-08-06 16:24:10
2015-11-05 16:25:11
2016-02-17 16:28:19
2016-03-14 16:58:32
2016-03-23 08:24:05
2016-05-02 09:16:49
2016-05-12 16:39:07
2016-05-23 16:17:20
2016-06-21 16:29:29
